0x00,sys_restart_syscall,,,,,,
0x01,sys_exit,int error_code,,,,,
0x02,sys_fork,struct pt_regs *,,,,,
0x03,sys_read,unsigned int fd,char __user *buf,size_t count,,,
0x04,sys_write,unsigned int fd,const char __user *buf,size_t count,,,
0x05,sys_open,const char __user *filename,int flags,int mode,,,
0x06,sys_close,unsigned int fd,,,,,
0x07,sys_waitpid,pid_t pid,int __user *stat_addr,int options,,,
0x08,sys_creat,const char __user *pathname,int mode,,,,
0x09,sys_link,const char __user *oldname,const char __user *newname,,,,
0x0a,sys_unlink,const char __user *pathname,,,,,
0x0b,sys_execve,char __user *,char __user __user,char __user __user,struct pt_regs *,,
0x0c,sys_chdir,const char __user *filename,,,,,
0x0d,sys_time,time_t __user *tloc,,,,,
0x0e,sys_mknod,const char __user *filename,int mode,unsigned dev,,,
0x0f,sys_chmod,const char __user *filename,mode_t mode,,,,
0x10,sys_lchown16,const char __user *filename,old_uid_t user,old_gid_t group,,,
0x11,not implemented,,,,,,
0x12,sys_stat,char __user *filename,struct __old_kernel_stat __user *statbuf,,,,
0x13,sys_lseek,unsigned int fd,off_t offset,unsigned int origin,,,
0x14,sys_getpid,,,,,,
0x15,sys_mount,char __user *dev_name,char __user *dir_name,char __user *type,unsigned long flags,void __user *data,
0x16,sys_oldumount,char __user *name,,,,,
0x17,sys_setuid16,old_uid_t uid,,,,,
0x18,sys_getuid16,,,,,,
0x19,sys_stime,time_t __user *tptr,,,,,
0x1a,sys_ptrace,long request,long pid,long addr,long data,,
0x1b,sys_alarm,unsigned int seconds,,,,,
0x1c,sys_fstat,unsigned int fd,struct __old_kernel_stat __user *statbuf,,,,
0x1d,sys_pause,,,,,,
0x1e,sys_utime,char __user *filename,struct utimbuf __user *times,,,,
0x1f,not implemented,,,,,,
0x20,not implemented,,,,,,
0x21,sys_access,const char __user *filename,int mode,,,,
0x22,sys_nice,int increment,,,,,
0x23,not implemented,,,,,,
0x24,sys_sync,,,,,,
0x25,sys_kill,int pid,int sig,,,,
0x26,sys_rename,const char __user *oldname,const char __user *newname,,,,
0x27,sys_mkdir,const char __user *pathname,int mode,,,,
0x28,sys_rmdir,const char __user *pathname,,,,,
0x29,sys_dup,unsigned int fildes,,,,,
0x2a,sys_pipe,int __user *fildes,,,,,
0x2b,sys_times,struct tms __user *tbuf,,,,,
0x2c,not implemented,,,,,,
0x2d,sys_brk,unsigned long brk,,,,,
0x2e,sys_setgid16,old_gid_t gid,,,,,
0x2f,sys_getgid16,,,,,,
0x30,sys_signal,int sig,__sighandler_t handler,,,,
0x31,sys_geteuid16,,,,,,
0x32,sys_getegid16,,,,,,
0x33,sys_acct,const char __user *name,,,,,
0x34,sys_umount,char __user *name,int flags,,,,
0x35,not implemented,,,,,,
0x36,sys_ioctl,unsigned int fd,unsigned int cmd,unsigned long arg,,,
0x37,sys_fcntl,unsigned int fd,unsigned int cmd,unsigned long arg,,,
0x38,not implemented,,,,,,
0x39,sys_setpgid,pid_t pid,pid_t pgid,,,,
0x3a,not implemented,,,,,,
0x3b,sys_olduname,struct oldold_utsname __user *,,,,,
0x3c,sys_umask,int mask,,,,,
0x3d,sys_chroot,const char __user *filename,,,,,
0x3e,sys_ustat,unsigned dev,struct ustat __user *ubuf,,,,
0x3f,sys_dup2,unsigned int oldfd,unsigned int newfd,,,,
0x40,sys_getppid,,,,,,
0x41,sys_getpgrp,,,,,,
0x42,sys_setsid,,,,,,
0x43,sys_sigaction,int sig,const struct old_sigaction __user *act,struct old_sigaction __user *oact,,,
0x44,sys_sgetmask,,,,,,
0x45,sys_ssetmask,int newmask,,,,,
0x46,sys_setreuid16,old_uid_t ruid,old_uid_t euid,,,,
0x47,sys_setregid16,old_gid_t rgid,old_gid_t egid,,,,
0x48,sys_sigsuspend,int history0,int history1,old_sigset_t mask,,,
0x49,sys_sigpending,old_sigset_t __user *set,,,,,
0x4a,sys_sethostname,char __user *name,int len,,,,
0x4b,sys_setrlimit,unsigned int resource,struct rlimit __user *rlim,,,,
0x4c,sys_old_getrlimit,unsigned int resource,struct rlimit __user *rlim,,,,
0x4d,sys_getrusage,int who,struct rusage __user *ru,,,,
0x4e,sys_gettimeofday,struct timeval __user *tv,struct timezone __user *tz,,,,
0x4f,sys_settimeofday,struct timeval __user *tv,struct timezone __user *tz,,,,
0x50,sys_getgroups16,int gidsetsize,old_gid_t __user *grouplist,,,,
0x51,sys_setgroups16,int gidsetsize,old_gid_t __user *grouplist,,,,
0x52,sys_old_select,struct sel_arg_struct __user *arg,,,,,
0x53,sys_symlink,const char __user *old,const char __user *new,,,,
0x54,sys_lstat,char __user *filename,struct __old_kernel_stat __user *statbuf,,,,
0x55,sys_readlink,const char __user *path,char __user *buf,int bufsiz,,,
0x56,sys_uselib,const char __user *library,,,,,
0x57,sys_swapon,const char __user *specialfile,int swap_flags,,,,
0x58,sys_reboot,int magic1,int magic2,unsigned int cmd,void __user *arg,,
0x59,sys_old_readdir,unsigned int,struct old_linux_dirent __user *,unsigned int,,,
0x5a,sys_old_mmap,struct mmap_arg_struct __user *arg,,,,,
0x5b,sys_munmap,unsigned long addr,size_t len,,,,
0x5c,sys_truncate,const char __user *path,long length,,,,
0x5d,sys_ftruncate,unsigned int fd,unsigned long length,,,,
0x5e,sys_fchmod,unsigned int fd,mode_t mode,,,,
0x5f,sys_fchown16,unsigned int fd,old_uid_t user,old_gid_t group,,,
0x60,sys_getpriority,int which,int who,,,,
0x61,sys_setpriority,int which,int who,int niceval,,,
0x62,not implemented,,,,,,
0x63,sys_statfs,const char __user * path,struct statfs __user *buf,,,,
0x64,sys_fstatfs,unsigned int fd,struct statfs __user *buf,,,,
0x65,sys_ioperm,unsigned long,unsigned long,int,,,
0x66,sys_socketcall,int call,unsigned long __user *args,,,,
0x67,sys_syslog,int type,char __user *buf,int len,,,
0x68,sys_setitimer,int which,struct itimerval __user *value,struct itimerval __user *ovalue,,,
0x69,sys_getitimer,int which,struct itimerval __user *value,,,,
0x6a,sys_newstat,char __user *filename,struct stat __user *statbuf,,,,
0x6b,sys_newlstat,char __user *filename,struct stat __user *statbuf,,,,
0x6c,sys_newfstat,unsigned int fd,struct stat __user *statbuf,,,,
0x6d,sys_uname,struct old_utsname __user *,,,,,
0x6e,sys_iopl,unsigned int,struct pt_regs *,,,,
0x6f,sys_vhangup,,,,,,
0x70,not implemented,,,,,,
